Division	Category	Gene Symbol
Core matrisome	ECM Glycoproteins	5430419D17Rik
Core matrisome	ECM Glycoproteins	Abi3bp
Core matrisome	ECM Glycoproteins	Adipoq
Core matrisome	ECM Glycoproteins	Aebp1
Core matrisome	ECM Glycoproteins	Agrn
Core matrisome	ECM Glycoproteins	Ambn
Core matrisome	ECM Glycoproteins	Amelx
Core matrisome	ECM Glycoproteins	AW551984
Core matrisome	ECM Glycoproteins	Bglap2
Core matrisome	ECM Glycoproteins	Bglap3
Core matrisome	ECM Glycoproteins	Bmper
Core matrisome	ECM Glycoproteins	Bsph1
Core matrisome	ECM Glycoproteins	Bsph2
Core matrisome	ECM Glycoproteins	Cdcp2
Core matrisome	ECM Glycoproteins	Cilp
Core matrisome	ECM Glycoproteins	Cilp2
Core matrisome	ECM Glycoproteins	Coch
Core matrisome	ECM Glycoproteins	Colq
Core matrisome	ECM Glycoproteins	Comp
Core matrisome	ECM Glycoproteins	Creld1
Core matrisome	ECM Glycoproteins	Creld2
Core matrisome	ECM Glycoproteins	Crim1
Core matrisome	ECM Glycoproteins	Crispld1
Core matrisome	ECM Glycoproteins	Crispld2
Core matrisome	ECM Glycoproteins	Ctgf
Core matrisome	ECM Glycoproteins	Cthrc1
Core matrisome	ECM Glycoproteins	Cyr61
Core matrisome	ECM Glycoproteins	Ints6l
Core matrisome	ECM Glycoproteins	Dmbt1
Core matrisome	ECM Glycoproteins	Dmp1
Core matrisome	ECM Glycoproteins	Dpt
Core matrisome	ECM Glycoproteins	Dspp
Core matrisome	ECM Glycoproteins	Ecm1
Core matrisome	ECM Glycoproteins	Ecm2
Core matrisome	ECM Glycoproteins	Edil3
Core matrisome	ECM Glycoproteins	Efemp1
Core matrisome	ECM Glycoproteins	Efemp2
Core matrisome	ECM Glycoproteins	Egfem1
Core matrisome	ECM Glycoproteins	Egflam
Core matrisome	ECM Glycoproteins	Eln
Core matrisome	ECM Glycoproteins	Emid1
Core matrisome	ECM Glycoproteins	Emilin1
Core matrisome	ECM Glycoproteins	Emilin2
Core matrisome	ECM Glycoproteins	Emilin3
Core matrisome	ECM Glycoproteins	Fbln1
Core matrisome	ECM Glycoproteins	Fbln2
Core matrisome	ECM Glycoproteins	Fbln5
Core matrisome	ECM Glycoproteins	Fbln7
Core matrisome	ECM Glycoproteins	Fbn1
Core matrisome	ECM Glycoproteins	Fbn2
Core matrisome	ECM Glycoproteins	Fga
Core matrisome	ECM Glycoproteins	Fgb
Core matrisome	ECM Glycoproteins	Fgg
Core matrisome	ECM Glycoproteins	Fgl1
Core matrisome	ECM Glycoproteins	Fgl2
Core matrisome	ECM Glycoproteins	Fn1
Core matrisome	ECM Glycoproteins	Fndc1
Core matrisome	ECM Glycoproteins	Fndc7
Core matrisome	ECM Glycoproteins	Fndc8
Core matrisome	ECM Glycoproteins	Fras1
Core matrisome	ECM Glycoproteins	Gas6
Core matrisome	ECM Glycoproteins	Gldn
Core matrisome	ECM Glycoproteins	Hmcn1
Core matrisome	ECM Glycoproteins	Hmcn2
Core matrisome	ECM Glycoproteins	Ibsp
Core matrisome	ECM Glycoproteins	Igfals
Core matrisome	ECM Glycoproteins	Igfbp1
Core matrisome	ECM Glycoproteins	Igfbp2
Core matrisome	ECM Glycoproteins	Igfbp3
Core matrisome	ECM Glycoproteins	Igfbp4
Core matrisome	ECM Glycoproteins	Igfbp5
Core matrisome	ECM Glycoproteins	Igfbp6
Core matrisome	ECM Glycoproteins	Igfbp7
Core matrisome	ECM Glycoproteins	Igfbpl1
Core matrisome	ECM Glycoproteins	Igsf10
Core matrisome	ECM Glycoproteins	Kcp
Core matrisome	ECM Glycoproteins	Lama1
Core matrisome	ECM Glycoproteins	Lama2
Core matrisome	ECM Glycoproteins	Lama3
Core matrisome	ECM Glycoproteins	Lama4
Core matrisome	ECM Glycoproteins	Lama5
Core matrisome	ECM Glycoproteins	Lamb1
Core matrisome	ECM Glycoproteins	Lamb2
Core matrisome	ECM Glycoproteins	Lamb3
Core matrisome	ECM Glycoproteins	Lamc1
Core matrisome	ECM Glycoproteins	Lamc2
Core matrisome	ECM Glycoproteins	Lamc3
Core matrisome	ECM Glycoproteins	Lgi1
Core matrisome	ECM Glycoproteins	Lgi2
Core matrisome	ECM Glycoproteins	Lgi3
Core matrisome	ECM Glycoproteins	Lgi4
Core matrisome	ECM Glycoproteins	Lrg1
Core matrisome	ECM Glycoproteins	Ltbp1
Core matrisome	ECM Glycoproteins	Ltbp2
Core matrisome	ECM Glycoproteins	Ltbp3
Core matrisome	ECM Glycoproteins	Ltbp4
Core matrisome	ECM Glycoproteins	Matn1
Core matrisome	ECM Glycoproteins	Matn2
Core matrisome	ECM Glycoproteins	Matn3
Core matrisome	ECM Glycoproteins	Matn4
Core matrisome	ECM Glycoproteins	Mepe
Core matrisome	ECM Glycoproteins	Mfap1a
Core matrisome	ECM Glycoproteins	Mfap1b
Core matrisome	ECM Glycoproteins	Mfap2
Core matrisome	ECM Glycoproteins	Mfap3
Core matrisome	ECM Glycoproteins	Mfap4
Core matrisome	ECM Glycoproteins	Mfap5
Core matrisome	ECM Glycoproteins	Mfge8
Core matrisome	ECM Glycoproteins	Mgp
Core matrisome	ECM Glycoproteins	Mmrn1
Core matrisome	ECM Glycoproteins	Mmrn2
Core matrisome	ECM Glycoproteins	Ndnf
Core matrisome	ECM Glycoproteins	Nell1
Core matrisome	ECM Glycoproteins	Nell2
Core matrisome	ECM Glycoproteins	Nid1
Core matrisome	ECM Glycoproteins	Nid2
Core matrisome	ECM Glycoproteins	Nov
Core matrisome	ECM Glycoproteins	Npnt
Core matrisome	ECM Glycoproteins	Ntn1
Core matrisome	ECM Glycoproteins	Tbc1d24
Core matrisome	ECM Glycoproteins	Ntn4
Core matrisome	ECM Glycoproteins	Ntn5
Core matrisome	ECM Glycoproteins	Ntng1
Core matrisome	ECM Glycoproteins	Ntng2
Core matrisome	ECM Glycoproteins	Oit3
Core matrisome	ECM Glycoproteins	Otog
Core matrisome	ECM Glycoproteins	Otogl
Core matrisome	ECM Glycoproteins	Otol1
Core matrisome	ECM Glycoproteins	Papln
Core matrisome	ECM Glycoproteins	Pcolce
Core matrisome	ECM Glycoproteins	Pcolce2
Core matrisome	ECM Glycoproteins	Postn
Core matrisome	ECM Glycoproteins	Pxdn
Core matrisome	ECM Glycoproteins	Reln
Core matrisome	ECM Glycoproteins	Rspo1
Core matrisome	ECM Glycoproteins	Rspo2
Core matrisome	ECM Glycoproteins	Rspo3
Core matrisome	ECM Glycoproteins	Rspo4
Core matrisome	ECM Glycoproteins	Sbspon
Core matrisome	ECM Glycoproteins	Slamf6
Core matrisome	ECM Glycoproteins	Slit1
Core matrisome	ECM Glycoproteins	Slit2
Core matrisome	ECM Glycoproteins	Slit3
Core matrisome	ECM Glycoproteins	Smoc1
Core matrisome	ECM Glycoproteins	Smoc2
Core matrisome	ECM Glycoproteins	Sned1
Core matrisome	ECM Glycoproteins	Sparc
Core matrisome	ECM Glycoproteins	Sparcl1
Core matrisome	ECM Glycoproteins	Spon1
Core matrisome	ECM Glycoproteins	Spon2
Core matrisome	ECM Glycoproteins	Spp1
Core matrisome	ECM Glycoproteins	Srpx
Core matrisome	ECM Glycoproteins	Srpx2
Core matrisome	ECM Glycoproteins	Sspo
Core matrisome	ECM Glycoproteins	Svep1
Core matrisome	ECM Glycoproteins	Tecta
Core matrisome	ECM Glycoproteins	Tectb
Core matrisome	ECM Glycoproteins	Tgfbi
